333,22,2,11,2,8,8,10,10,0,2,8,3,5,9,16,6,1,0,0,1,0,0,2,0,0
23,275,7,14,0,6,8,2,2,0,0,1,5,0,3,45,9,20,2,1,0,1,3,1,5,2
0,0,431,1,2,36,15,0,0,1,0,18,0,0,3,1,1,0,6,0,3,0,0,0,0,0
7,5,4,300,1,2,2,0,1,4,1,0,1,2,16,26,11,0,1,4,5,0,0,1,0,2
2,17,19,1,176,95,10,2,1,0,0,5,0,0,0,24,2,2,5,4,0,0,0,0,0,0
1,2,9,1,109,232,1,0,1,1,3,2,3,0,0,32,2,0,3,13,0,1,0,0,1,2
9,8,19,0,3,22,266,1,1,1,1,13,0,1,2,8,17,1,1,0,7,0,8,0,0,0
7,3,0,0,1,4,1,326,3,1,2,2,3,3,0,0,0,0,0,0,17,10,12,0,7,0
0,2,0,17,0,11,0,0,403,80,0,225,0,0,0,1,0,1,2,52,0,0,0,1,7,13
0,1,0,4,1,1,1,0,17,329,1,2,2,1,1,0,0,1,10,50,0,1,0,0,2,1
1,2,2,3,0,2,0,4,9,0,260,13,3,1,0,2,1,2,1,0,2,15,18,14,22,0
2,0,4,2,0,2,2,0,20,2,0,452,0,0,0,1,0,0,0,0,4,1,2,0,1,1
9,6,2,3,1,5,2,71,0,1,31,1,224,37,2,1,0,3,0,0,15,9,31,0,6,0
13,3,1,8,0,3,0,39,1,0,12,5,9,275,1,0,0,0,0,0,21,7,36,1,4,0
6,4,73,87,1,3,10,0,1,1,0,1,0,0,194,14,54,1,0,1,8,0,0,0,0,0
11,17,3,22,3,19,5,3,0,2,2,4,0,0,6,334,22,7,1,1,0,2,0,1,1,1
6,13,10,16,0,4,51,0,0,0,0,2,1,0,18,29,285,2,2,0,9,1,3,0,0,0
14,106,14,4,5,5,5,2,2,0,14,2,3,0,2,122,18,110,2,2,0,0,3,2,5,4
0,6,17,2,1,44,5,0,1,12,0,9,0,0,0,2,3,0,334,3,1,0,1,0,3,1
1,0,2,3,1,1,0,0,8,20,0,2,2,0,0,0,0,0,2,424,0,0,0,0,1,2
1,0,0,4,0,0,1,16,0,2,1,8,0,3,0,0,1,1,0,0,364,39,17,0,0,0
1,0,0,0,0,0,0,9,1,5,12,4,0,1,0,1,0,0,0,1,54,351,6,8,28,0
2,0,2,3,0,0,1,10,0,0,2,1,9,11,0,0,0,0,0,0,14,10,410,0,0,0
3,3,0,2,0,1,1,2,7,2,20,5,4,0,0,1,0,0,0,1,1,9,4,333,70,3
1,0,0,1,0,1,0,10,7,0,23,3,0,0,0,3,0,0,0,2,2,41,9,44,306,0
0,23,1,11,4,2,0,0,4,8,0,3,2,0,0,7,2,1,0,36,0,0,0,0,0,363
