194,32,6,21,7,17,18,19,11,3,5,10,6,14,17,16,13,22,1,0,8,2,4,9,1,3
22,165,13,22,16,4,26,5,2,3,6,3,5,8,10,20,17,43,18,2,2,3,2,3,4,11
3,1,348,5,10,33,35,2,1,3,3,20,0,0,10,15,5,4,11,2,5,0,1,0,1,0
3,8,9,246,4,7,5,1,2,10,0,0,2,2,29,14,23,2,2,2,8,4,8,1,0,4
1,15,10,3,148,75,13,2,3,1,4,6,0,4,2,20,6,15,18,2,4,2,1,4,2,4
2,3,18,6,58,185,15,3,0,11,6,6,6,4,0,54,1,6,12,12,0,0,3,0,4,4
2,12,12,4,17,33,170,11,0,3,1,14,5,4,7,5,32,5,12,0,15,8,16,0,1,0
7,9,4,2,4,6,4,186,4,0,13,3,6,31,0,3,4,7,2,2,32,20,34,8,10,1
4,9,0,21,5,18,0,1,410,63,1,175,1,0,1,3,1,0,11,48,0,3,0,3,16,21
0,3,2,13,3,5,0,2,12,283,3,1,3,1,4,4,6,2,23,39,1,0,4,2,5,5
8,3,5,4,14,12,3,12,1,0,190,13,6,4,4,7,0,11,4,1,15,15,8,13,23,1
2,0,8,3,2,21,3,3,37,2,3,388,0,0,1,2,1,1,1,0,9,1,3,1,3,1
17,3,4,6,2,8,6,53,0,9,26,2,132,62,4,5,5,9,4,5,30,15,40,4,8,1
7,3,5,9,3,3,3,33,0,0,12,3,15,206,7,3,7,5,1,0,42,14,50,1,7,0
9,15,61,54,0,2,23,0,0,8,4,3,3,1,165,12,65,5,3,1,16,2,4,1,2,0
10,19,21,28,11,17,9,3,3,9,3,1,2,1,7,231,26,32,4,2,7,8,4,1,4,4
11,25,12,22,3,8,39,9,2,8,2,0,5,4,17,25,218,8,4,0,12,3,9,1,3,2
16,80,26,13,20,23,13,3,0,2,11,2,5,1,5,75,17,104,11,3,3,4,2,4,0,3
0,13,13,11,15,35,8,0,5,23,2,10,2,3,2,9,2,0,256,12,1,2,3,0,16,2
0,5,4,5,2,5,0,0,13,38,0,1,6,0,0,1,0,1,2,361,1,3,2,3,5,11
0,4,4,2,0,0,3,28,1,1,3,5,0,9,2,1,3,1,1,0,301,43,36,2,8,0
1,1,3,0,1,1,1,16,0,3,16,2,0,8,0,1,0,2,2,0,47,296,18,13,49,1
1,1,0,9,1,1,3,21,0,1,4,1,17,16,2,0,1,1,2,0,34,18,333,5,3,0
3,2,1,5,1,4,0,8,5,2,28,6,6,3,1,2,1,8,6,5,2,15,9,264,83,2
1,2,2,1,1,3,1,8,3,2,16,6,4,4,0,4,0,2,4,2,2,51,10,57,266,1
4,36,0,30,7,6,0,1,8,15,1,2,5,3,1,7,2,4,7,19,2,1,1,7,9,289
